Matchup,cd,dem_name,rep_name,prediction,raw_prediction,bucket,win_prob_d,flip,win_prob_r
Rick Larsen (D) vs Eventual Nominee (R),WA-02,Rick Larsen,Eventual Nominee,D+36.0,-36,Safe D,100,N,0
Marie Gluesenkamp Perez (D) vs Eventual Nominee (R),WA-03,Marie Gluesenkamp Perez,Eventual Nominee,D+6.5,-6.5,Likely D,82,N,18
Eventual Nominee (D) vs Eventual Nominee (R),WA-04,Eventual Nominee,Eventual Nominee,R+15.2,15.2,Safe R,1,N,99
Eventual Nominee (D) vs Michael Baumgartner (R),WA-05,Eventual Nominee,Michael Baumgartner,R+10.4,10.4,Likely R,7,N,93
Emily Randall (D) vs Eventual Nominee (R),WA-06,Emily Randall,Eventual Nominee,D+30.3,-30.3,Safe D,100,N,0
Pramila Jayapal (D) vs Eventual Nominee (R),WA-07,Pramila Jayapal,Eventual Nominee,D+81.7,-81.7,Safe D,100,N,0
Kim Schrier (D) vs Eventual Nominee (R),WA-08,Kim Schrier,Eventual Nominee,D+18.1,-18.1,Safe D,99,N,1
Adam Smith (D) vs Eventual Nominee (R),WA-09,Adam Smith,Eventual Nominee,D+53.3,-53.3,Safe D,100,N,0
Marilyn Strickland (D) vs Eventual Nominee (R),WA-10,Marilyn Strickland,Eventual Nominee,D+29.2,-29.2,Safe D,100,N,0
Eventual Nominee (D) vs Bryan Steil (R),WI-01,Eventual Nominee,Bryan Steil,R+3.8,3.8,Lean R,28,N,72
Mark Pocan (D) vs Erik Olsen (R),WI-02,Mark Pocan,Erik Olsen,D+50.8,-50.8,Safe D,100,N,0
Rebecca Cooke (D) vs Derrick Van Orden (R),WI-03,Rebecca Cooke,Derrick Van Orden,D+0.3,-0.3,Tossup,52,Y,48
Gwen Moore (D) vs Eventual Nominee (R),WI-04,Gwen Moore,Eventual Nominee,D+63.5,-63.5,Safe D,100,N,0
Eventual Nominee (D) vs Scott Fitzgerald (R),WI-05,Eventual Nominee,Scott Fitzgerald,R+23.5,23.5,Safe R,0,N,100
Eventual Nominee (D) vs Glenn Grothman (R),WI-06,Eventual Nominee,Glenn Grothman,R+17.6,17.6,Safe R,1,N,99
Eventual Nominee (D) vs Eventual Nominee (R),WI-07,Eventual Nominee,Eventual Nominee,R+17.3,17.3,Safe R,1,N,99
Eventual Nominee (D) vs Tony Wied (R),WI-08,Eventual Nominee,Tony Wied,R+15.8,15.8,Safe R,1,N,99
Vince George (D) vs Carol Miller (R),WV-01,Vince George,Carol Miller,R+38.3,38.3,Safe R,0,N,100
Ace Parsi (D) vs Riley Moore (R),WV-02,Ace Parsi,Riley Moore,R+37.5,37.5,Safe R,0,N,100
Lisa Kinney (D) vs Eventual Nominee (R),WY-AL,Lisa Kinney,Eventual Nominee,R+41.6,41.6,Safe R,0,N,100
